;Sin optim.;O0;O1;O2;O3;;;
Sin inlining;;;;;;;;
N=1000;0,000697;0,000699;0,000296;0,000013;0,000013;;;
N=10000;0,00793;0,010221;0,00302;0,000318;0,000295;;;
N=100000;0,074951;0,073485;0,031397;0,003033;0,003151;;;
N=1000000;0,815885;0,758727;0,331522;0,169363;0,162531;;;
;;;;;;;;
Con inlining;;;;;;;;
N=1000;0,000361;0,000563;0,000018;0,000011;0,000012;;;
N=10000;0,004884;0,004117;0,000268;0,000738;0,000343;;;
N=100000;0,045852;0,047693;0,002955;0,003137;0,002801;;;
N=1000000;0,494612;0,485808;0,159465;0,160878;0,174938;;;
;;;;;;;;
